branch	sha
feat/phase7c-web-mt5-sync-demo-e2e	3303d1802658ed91414d8704b488ff9cce5e96f2
feat/phase7c-web-ui-safe-deploy	8d2cff3dfae5ed13ce56569fbb27c54802f092f3
feature/core-foundation	e04267afb0ecc4b2f0385d6e5a6cd4e8ed227be5
feature/phase7c-daily-recovery-tp	abd60028e121d2a5fae30446ce72930f7490ba84
feature/phase7c-decision-observability	4a98322d795f79fe491679e05e89c47b3290b5d9
feature/phase7c-dual-account-mode	f4eb5fd55554d1dcfd6c7e03905497564856d127
feature/phase7c-recovery-ui-route	0de59125ba9a5ef502d95c4d5062ef638cc50883
feature/phase7c-recovery-ui-status	ac88c4f18cc1c73ffe982782b839f61e3b1e32f4
feature/phase7c-ui-consolidation-performance	4b87e3705134f2994f1de0a7e63bd9a19c2c7eb2
feature/phase7c-ui-telegram-recovery-hold	20645136d55c2b75135d9a2e6e89ca9755a44eb2
final/phase7c-stop-policy-review-20260823	f7f37a1b5e4905c555f61e31d16b8a0d19244600
fix/performance-mixed-provenance-attribution	dc3369b009012769ff61e5464b2920f73d89482b
fix/performance-mixed-provenance-web-contract	ebbcb47a5121fa8e2e8a2e95ad9a0cd40953f491
fix/performance-strategy-regime-attribution	432cd429bf4aaadafe14cfa150f0e96d0081781d
fix/phase7b-api-node-esm-runtime	cc35c2ff74623219b8b1f8195f950717adea5c26
fix/phase7b-api-production-runtime-launcher	238e57acdf623b90e915870b163f1441f26a3bd9
fix/phase7b-live-status-runtime	8ed6c40dae68a86ddc79d689a9ee768b0a85ee6d
fix/phase7b-process-liveness-permission	577b1b1423b645f1ca39012af1f1a772871c164e
fix/phase7b-three-candle-migration-idempotency	0dda58a98457bad615ca5b5c9386c229191abb7c
fix/phase7b-web-job-object-cleanup	d216a4785cddb54dd7deccbf50c16b6faf7b83df
fix/phase7c-account-risk-live-labels	f18b0b07e3ed041b665c69ce949ecb69e09b31bc
fix/phase7c-account-risk-lot-max-120	8c9a12b4b8c196a9aa439e607f31f9bc1249f3e8
fix/phase7c-account-runtime-verifier-system-broker	111ec4d5eada3e12906a086d52cabd2e07dd88a5
fix/phase7c-account-switch-canonical-lifecycle	14bba52d1d84f9451dbcf1b351aa46c15246ab96
fix/phase7c-account-switch-lifecycle-start	40ce549e2708ec7e24f9e1ac237585083915c920
fix/phase7c-activation-safety-regression	220f3fa3920ba9f61f5b70d9d367389dca53a296
fix/phase7c-activation-sideway-cap-contract	ef5327e6fdaf0b60bab44187add24d41960ae1f3
fix/phase7c-active-lot-supervisor-identity	57f34d5cbd234de0a03bfbe191062e94ff545969
fix/phase7c-auto-active-ui-authorization-semantics	45b4cf2fb342ea2a285a59cc51022e7be695996e
fix/phase7c-auto-copy-single-control	16b20a69ddffb31e31d4fcf8801fe8d1f2ce9c3f
fix/phase7c-auto-generic-route-bypass	32196ca8b0d67e5baa37c72c37df2164a468721c
fix/phase7c-auto-preserve-activation	688c06da37045c4f13264772ee1d82d5b00ed741
fix/phase7c-auto-reversal-entry-check-actual	20b92b344db538168ce035b971e50104110f9606
fix/phase7c-auto-reversal-explanation-consistency	be941aa4f14936570fcd0e92743fccf43b369ee7
fix/phase7c-auto-reversal-ui-gate-consistency	3dbd90c65948ef2c8fee99b24adc0f98ce1ffdec
fix/phase7c-bot-mode-provenance	5be053ff7e0ade279fdbb28ca874d8a39fb73fdc
fix/phase7c-bot-mode-provenance-ci-main-base	95300541dc82cc63706fad12d2a7f5fdfa030908
fix/phase7c-bot-stale-recovery	c534218c8fd4a907e9b9dae21b3e9ba31afc8174
fix/phase7c-bridge-task-child-cleanup	baac177eca8b36895b09fed7bc186e6f8c69dae9
fix/phase7c-broker-time-normalization	bf8e5a73d3e7c11ca1c477bbd74c4126d4e4cdba
fix/phase7c-canonical-daily-recovery-executors	bf99ea4e16d510a55c011543b47010ba7278c45e
fix/phase7c-canonical-ledger-authoritative-replay	ea8a1c3243cc45af3a8e9deeacdf361bb20faa92
fix/phase7c-canonical-position-magic-zero-close	734d3c73dde4d1cb3ffe6b418d52de1745943914
fix/phase7c-canonical-runtime	412ab45a1795cf6d324dd98773ca95fb22632e8e
fix/phase7c-compact-arm-and-lifecycle-stop	6c17e4b1c5820e5ddb487f1470278cfb144442b3
fix/phase7c-control-center-auto-button	5891a7b0704dfa68800d25741d18839e264f92e9
fix/phase7c-control-center-fixed-tp-only	cae93062eb23929abb9313363c2f976572799fbb
fix/phase7c-control-center-fixed-tp-only-ready	cae93062eb23929abb9313363c2f976572799fbb
fix/phase7c-core-runtime-clean-restart	fcc6eae09dbd9c47103680f57d7ea1686f6df864
fix/phase7c-current-position-exit-reason-ticket-isolation	f6f11eadf21845ba75d048791cf10e4d8867654b
